name	date_established	rating	expense	type	owner	phone_number
"Ferry, Fay and Yost"	1/16/1950	1	moderately expensive	Hotel	Scot Pinnion	970-404-2506
"Glover, Orn and Hayes"	10/6/1996	1	inexpensive	Restaurant	Noel Cummungs	417-960-7983
Labadie and Sons	11/2/1986	3	moderately expensive	Bank	Selina Birtwell	732-932-7574
Muller-Schneider	11/22/1998	1	moderately expensive	Hotel	Alanna Medcalfe	435-654-9691
Parisian-Jenkins	5/31/2017	3	moderately expensive	Bank	Jesselyn Graser	522-894-6715
"Konopelski, Fahey and Herman"	8/24/1972	5	moderately expensive	Hotel	Ari Wolsey	472-699-1609
"Swaniawski, Kessler and Herzog"	2/22/1972	3	moderately expensive	Bar	Anne-corinne Gladwin	946-213-7565
"Towne, Feeney and Altenwerth"	8/2/1951	3	very expensive	Bar	Dugald Truse	394-889-4271
Gislason Group	9/10/1995	3	very expensive	Store	Myrtia Downey	207-781-5266
Romaguera LLC	11/8/2001	1	moderately expensive	Store	Brandy Westlake	990-407-2147
Sauer Inc	11/30/2001	5	inexpensive	Hotel	Aloise Iglesiaz	212-251-5821
Barrows-Conroy	6/12/1958	2	inexpensive	Restaurant	Lissie Robelet	262-348-1122
"Conn, Gibson and Baumbach"	11/13/1974	5	very expensive	Restaurant	Diahann Churchin	515-529-4282
Daugherty-Rohan	11/4/1975	1	inexpensive	Store	Pamella Hriinchenko	121-803-7788
"Aufderhar, Powlowski and Swift"	4/27/1987	2	inexpensive	Hotel	Michael Fumagalli	919-517-9622
"Hansen, West and Boyle"	8/5/1981	4	very expensive	Store	Arlyne Scarasbrick	195-769-8455
"Kilback, Hansen and Kerluke"	9/16/2010	5	very expensive	Hotel	Alyse Lattimer	380-679-5616
"Volkman, Halvorson and Mraz"	8/14/1995	5	moderately expensive	Bar	Gerick Marqyes	341-996-1348
Rogahn-Gerhold	10/12/2009	2	inexpensive	Hotel	Kristien Charles	116-549-9851
"Bogan, Feil and Wolf"	2/1/1963	5	very expensive	Hotel	Dara Cawthry	773-858-6587
Quigley Group	4/18/1981	2	very expensive	Bar	Suzi Pettie	949-936-6818
Kunze Inc	4/25/2007	4	moderately expensive	Bar	Nannette Puxley	346-309-4432
"Prosacco, Russel and Mayer"	10/26/1952	4	very expensive	Bar	Kile Couling	486-843-2994
"Torphy, Bayer and Krajcik"	12/10/1951	3	very expensive	Restaurant	Amelina Mohammad	905-753-7920
King and Sons	7/28/1977	4	inexpensive	Bar	Gratiana Trodd	339-464-6141
Jones Inc	7/21/2010	5	inexpensive	Bank	Othella Yarrall	368-707-5229
Corwin and Sons	5/26/1968	4	very expensive	Hotel	Mikel O'Gormally	466-640-0594
Borer Group	4/22/1984	5	very expensive	Restaurant	Diarmid Rings	989-327-1899
Stehr-Kihn	12/7/2016	3	moderately expensive	Bar	Minne Lampkin	712-745-3820
Bergstrom LLC	9/29/2006	2	moderately expensive	Bar	Vernen Challener	932-600-9842
Berge LLC	5/14/1996	1	moderately expensive	Store	Arluene Emm	510-281-4870
Hamill-Breitenberg	11/23/1953	4	inexpensive	Restaurant	Chlo Lambourne	867-604-1219
Grant Group	12/17/1994	1	very expensive	Hotel	Hildagarde Edsall	382-333-4340
Kiehn and Sons	10/23/2018	2	very expensive	Restaurant	Amargo Pester	603-590-9507
Lowe-Casper	12/24/1983	1	inexpensive	Bar	Constance Exon	385-591-0326
Cole Group	5/19/1999	3	inexpensive	Store	Aloysia Logsdale	122-540-3930
Dickens Group	3/25/2010	5	moderately expensive	Restaurant	Shannon Colleton	289-339-1147
"Donnelly, Nicolas and Kulas"	8/9/1960	3	very expensive	Restaurant	Adina Rainbow	490-222-2442
"O'Kon, Kling and Johnson"	10/27/2015	2	inexpensive	Restaurant	Patrizio Jaulme	500-902-4899
Stamm-Reilly	2/16/1971	5	moderately expensive	Restaurant	Katey Clewer	371-754-2965
Heathcote-Streich	7/30/1968	5	very expensive	Hotel	Kyla Ellerman	807-698-9635
Mante-Ullrich	8/10/1952	3	inexpensive	Store	Cris Kubiczek	526-696-6551
Gutmann-Hayes	2/28/1972	4	inexpensive	Bar	Clerc Ledur	303-942-6323
"Graham, Schaefer and Smith"	2/12/1961	4	moderately expensive	Bank	Sonia Kennan	954-317-1438
"Lehner, Walsh and Gibson"	8/4/1952	5	moderately expensive	Bar	Kizzee Pudsall	772-287-8785
"Lehner, Emmerich and Zieme"	9/15/1997	3	inexpensive	Store	Edita Jenkin	346-384-5090
Prosacco Group	3/25/1981	1	moderately expensive	Restaurant	Blondy Gristhwaite	626-423-9922
Connelly-Durgan	9/8/1967	5	very expensive	Restaurant	Natalya Batalini	507-726-1203
Zboncak-Walker	2/7/1962	5	inexpensive	Hotel	Malachi Pleming	379-649-3686
Sipes-Wuckert	6/1/2013	1	moderately expensive	Restaurant	Killie Napper	828-165-9361
Stanton LLC	11/23/1953	1	moderately expensive	Bar	Lynea Nevison	755-861-8800
Bergstrom Group	9/27/2007	3	inexpensive	Bank	Theodora Brammall	200-601-7925
Swaniawski-Nitzsche	5/25/1953	5	inexpensive	Restaurant	Bryn Crothers	813-277-9451
"Nicolas, Deckow and Becker"	5/15/1955	5	moderately expensive	Hotel	Teri Glentworth	649-218-7736
Veum-Hoeger	9/30/2015	3	moderately expensive	Store	Annmaria Loreit	714-637-9680
Willms-Zboncak	11/21/1958	4	very expensive	Bar	Suzanne Overlow	918-794-4283
Lynch-Leffler	1/29/1969	4	moderately expensive	Bank	Gerhardt Lightowler	843-738-1613
"Beier, Zemlak and Keeling"	1/5/1980	5	very expensive	Bar	Barth Tille	474-295-5057
Powlowski-Kertzmann	1/11/1976	5	inexpensive	Bar	Aggi Reichartz	488-634-1268
Kassulke-O'Keefe	3/26/1951	3	inexpensive	Bar	Salvador Heino	858-197-9975
Emard-Erdman	10/15/1988	1	moderately expensive	Store	Camala Lamberto	480-956-2140
"Champlin, McLaughlin and Ledner"	12/19/1966	1	inexpensive	Restaurant	Lance Peskett	149-689-9377
"Hane, Krajcik and Graham"	1/19/1954	4	moderately expensive	Hotel	Christoffer Southam	689-867-9708
Quitzon-Weimann	7/9/1984	1	inexpensive	Restaurant	Genni Parham	720-775-5395
"Nicolas, Mayer and Barton"	6/22/2010	3	very expensive	Bar	Gawen Lyon	396-407-0699
Pollich-Bernhard	11/4/1953	5	moderately expensive	Bank	Norby Paskell	825-422-2918
Johnson Inc	8/7/1979	1	moderately expensive	Store	Vevay Budcock	333-157-0122
Romaguera Inc	6/2/1987	5	moderately expensive	Restaurant	Anthe Swallwell	255-458-9699
Cole-Zulauf	1/20/1974	2	inexpensive	Restaurant	Di Trays	141-432-6346
"Dickinson, Dickinson and Hammes"	10/23/1962	4	very expensive	Store	Colman Shales	858-229-8917
Jones-West	6/8/2013	3	moderately expensive	Restaurant	Modestine Crossfeld	695-958-2962
Purdy-Goodwin	6/11/1951	5	moderately expensive	Bank	Antonetta Woodyeare	874-117-8440
"Kertzmann, Schoen and Miller"	10/6/1967	3	moderately expensive	Bar	Warren Stroder	105-405-0126
Medhurst LLC	4/16/1976	2	very expensive	Restaurant	Blithe McMeekin	851-164-0877
Wuckert-Bergstrom	3/13/2002	5	very expensive	Restaurant	Josephine Gouley	874-553-0618
Witting-Stracke	3/14/1967	1	moderately expensive	Store	Flynn Alvis	544-455-9864
Hermann-Macejkovic	4/21/2016	3	moderately expensive	Store	Bil Maw	703-768-4344
Brakus LLC	9/7/1994	5	inexpensive	Store	Frederico McGilvary	986-548-9091
"Hand, Murray and Abernathy"	1/31/1978	3	moderately expensive	Restaurant	Margy Lawles	642-409-7402
Champlin Group	10/8/1997	2	inexpensive	Store	Binnie Spiers	326-763-8305
Mayert Group	10/23/1977	5	moderately expensive	Bank	Blisse Cleever	942-352-2370
Johnson and Sons	6/3/1992	2	inexpensive	Store	Prue Koppes	320-182-1820
"Heaney, Vandervort and Kemmer"	5/5/1984	2	inexpensive	Store	Amby Lewzey	236-237-0562
Beer-Stark	5/11/1991	3	inexpensive	Store	Faye Bockings	992-491-9633
"Herman, Rutherford and Stehr"	11/13/1978	5	moderately expensive	Hotel	Killie Veronique	503-613-3259
"Walker, Parisian and Reichert"	10/17/2015	4	inexpensive	Bar	Alida Dryden	272-253-7477
Thompson-Blick	10/4/1961	2	very expensive	Restaurant	Diandra MacNaughton	243-575-8450
Torp and Sons	1/22/1975	3	very expensive	Bank	Westleigh Rosin	516-268-8332
Murray Group	9/18/2000	1	moderately expensive	Bank	Griffith Mozzi	882-926-9739
Leffler LLC	11/19/2018	3	inexpensive	Hotel	Bobbi Dinnis	992-416-9269
Hickle-Anderson	9/30/1996	2	moderately expensive	Store	Mae Drinkeld	399-767-2837
Leannon and Sons	5/15/1969	1	moderately expensive	Bank	Bettina Loweth	252-716-4463
Marks-Prohaska	3/30/1959	5	very expensive	Store	Jacquelin Carren	676-820-8649
"Schaefer, Buckridge and Welch"	3/13/2007	2	very expensive	Hotel	Emmeline Goly	723-102-0697
"Grimes, Fisher and Swift"	10/11/1996	3	inexpensive	Store	Smitty Gummory	569-605-7321
Stiedemann-Towne	9/10/1965	2	moderately expensive	Bank	Anabelle Maciejak	859-638-9702
"Weber, Abshire and Dibbert"	10/9/1999	1	inexpensive	Store	Jordan Isakovic	296-913-6909
"Haley, Cormier and Glover"	9/19/1983	5	very expensive	Bank	Jackson Guinery	924-999-8627
"Quigley, Bode and Stanton"	11/14/1960	5	inexpensive	Hotel	Morlee Lamey	866-912-1256
Okuneva Inc	3/14/2000	5	inexpensive	Store	Marysa Baudy	471-353-1052
Okuneva-Goodwin	7/16/1977	1	moderately expensive	Restaurant	Ozzie Ralphs	726-804-7389
Lowe Inc	6/21/1969	2	inexpensive	Store	Garald Petschel	738-959-5849
Blanda-Muller	6/30/2001	4	inexpensive	Bank	Kathe Sporle	313-219-3380
"Brekke, Bednar and MacGyver"	8/29/1991	1	very expensive	Store	Phyllida Ironmonger	207-171-5002
Bogisich Inc	4/4/2006	1	very expensive	Bar	Peter Gotter	396-999-6403
Tillman Inc	10/27/2017	3	very expensive	Store	Miranda Ladell	910-641-7672
Zulauf-Hills	7/3/2000	4	very expensive	Store	Ruthy Tremaine	828-425-3388
Okuneva-Friesen	6/22/1977	3	moderately expensive	Bank	Tracie Osgodby	792-490-7163
"Ernser, McGlynn and Schuster"	11/21/1978	2	inexpensive	Hotel	Krystle Notti	842-931-0371
"Ortiz, Bernhard and Kunde"	2/18/1953	4	moderately expensive	Bar	Jobey Biagini	903-173-0814
Hodkiewicz and Sons	3/7/1966	2	inexpensive	Restaurant	Nicky Handes	863-169-3326
Marquardt LLC	11/30/1951	3	very expensive	Bank	Holt Geggus	304-330-5610
Bahringer-Streich	4/30/2003	5	very expensive	Hotel	Bev Vedyasov	859-533-2832
Ziemann-McKenzie	4/19/1955	3	very expensive	Bar	Erin Hutchcraft	444-812-4919
Koepp-Wolf	5/26/1992	5	very expensive	Restaurant	Hubert Bater	143-344-7258
West Inc	6/21/1991	2	moderately expensive	Restaurant	Ceciley Boosey	316-590-6127
Carroll-Emard	7/27/2004	4	inexpensive	Store	Scarlet Ride	408-360-5538
"Zieme, Legros and Dickinson"	3/18/2014	5	very expensive	Bar	Guido Clymo	613-626-9979
"Stracke, Hudson and Koelpin"	4/9/1966	1	very expensive	Store	Emlyn Fishlock	299-248-6414
Crist Inc	6/18/2011	4	very expensive	Restaurant	Trey Furlong	508-235-5604
"Schmidt, Johns and Smith"	12/8/1950	2	very expensive	Restaurant	Kari Crabbe	360-242-3831
Parisian-Mohr	5/10/1987	1	moderately expensive	Restaurant	Ennis Heale	972-231-3535
Cummings-Bosco	3/25/1967	5	inexpensive	Bank	Osgood Jarrell	523-237-8389
Marks-Leffler	7/14/1958	3	very expensive	Restaurant	Clem Kohnen	666-210-8511
Morissette-Effertz	1/13/2007	5	inexpensive	Bank	Nicolina Kunisch	663-701-0434
Torphy-Bayer	4/8/1996	3	inexpensive	Bar	Jackie Jeffs	621-711-9267
